dg_id,player_name,adjusted_course_fit,adjusted_sg_total,salary
14796,"Hatton, Tyrrell",-0.037850836554459207,1.099892656247035,10800
14838,"Reed, Patrick",-0.13607291290184606,0.8053416762230836,10600
26745,"Chacarra, Eugenio",0.10513249009341524,0.7819068181670836,9300
20706,"Wallace, Matt",-0.035811181816103564,0.7098372312385397,10200
22322,"McKibbin, Tom",-0.14321039722922554,0.7010123250738728,9600
21074,"Nakajima, Keita",0.06456194090710021,0.7005943180368647,9800
20085,"Lindell, Oliver",0.06090363315675153,0.6937397918858553,9400
27194,"Hall, Harry",-0.08027213496194457,0.6213098333024316,9000
30445,"Ayora, Angel",0.11070052203635827,0.5414581223303543,9200
21646,"Ferguson, Ewen",0.08378394406520814,0.5115601526947083,9100
22465,"Penge, Marco",-0.01584389063521293,0.47466552196906225,10000
26947,"Jarvis, Casey",0.013438225783570696,0.40531673960581466,8700
25611,"Olesen, Jacob Skov",0.024162311839925357,0.38705838841807083,8800
13764,"Parry, John",0.04117372743659512,0.3095808042307425,8100
25601,"Jordan, Matthew",0.08712827587477179,0.29341614769195984,8400
21362,"Hillier, Daniel",0.07729994859005376,0.25227378469371176,8900
20766,"Brown, Dan",-0.0538436940376851,0.1164744036209947,8600
19421,"Du Plessis, Hennie",0.034255186416325835,0.08476714722862454,8200
15326,"Sullivan, Andy",0.11632918616611428,0.07759138309466,8500
22736,"Rosenmueller, Thomas",-0.027199912420397248,0.05445365570066714,7900
13412,"Olesen, Thorbjorn",0.06531436416333013,-0.006108694055032074,8300
17813,"Armitage, Marcus",-0.009689216243208183,-0.011377457197092967,7900
18770,"Rozner, Antoine",-0.07114954736714886,-0.05418812959926899,7800
14016,"Campillo, Jorge",0.07254814254729683,-0.07691406436061818,7800
26991,"Schaper, Jayden",0.00432411470137968,-0.08112595723986171,8000
20084,"Lindberg, Mikael",0.07148577739005521,-0.122166096651778,7800
25131,"Hill, Calum",0.11374261021073219,-0.1431640989855532,8000
19960,"Pavon, Matthieu",0.028464090189086348,-0.17994462217061136,7600
24185,"Mansell, Richard",0.07716782117284707,-0.2367027096583104,7700
10201,"Guerrier, Julien",-0.003994549338453518,-0.23921042226121292,7600
9531,"Wiesberger, Bernd",0.007710174012711329,-0.2498491985345991,7500
24369,"Kobori, Kazuma",0.09962172115803172,-0.2502270833694705,7400
29971,"Bradbury, Dan",0.11856419788067901,-0.26272993282087126,7700
16497,"Dean, Joe",-0.02019743009918407,-0.2720420762479604,7300
28615,"Bairstow, Sam",0.024897265664071935,-0.2961406632779975,7200
16652,"Langasque, Romain",-0.018133736834198253,-0.31457240702182243,7600
15680,"Winther, Jeff",0.2023808466200447,-0.32160562152950434,7300
12321,"Aphibarnrat, Kiradech",0.08343652852639917,-0.32597872236107217,7400
26008,"Elvira, Manuel",0.04649734304820517,-0.33647392398358333,7000
11460,"Manassero, Matteo",-0.04251156424824192,-0.3544359604515988,7500
15676,"Norgaard, Niklas",0.1037397199162936,-0.3640705626695122,7400
22608,"Clements, Todd",-0.06343913477403107,-0.36977820076928525,7500
23416,"Ravetto, David",-0.07396358037141929,-0.3840976447217832,7000
15310,"Li, Haotong",0.011279908601026746,-0.40290111617974916,7600
28239,"Guillamoundeguy, Oihan",-0.13910444985004616,-0.41687511473806127,7300
28268,"Kaneko, Kota",0.040075450076131724,-0.4293945732506794,7100
22259,"Del Rey, Alejandro",-0.08996445247411526,-0.45637920925558156,7400
7677,"Norris, Shaun",-0.13265530650534593,-0.46336991012392925,7700
15193,"Van Tonder, Daniel",0.0569634224224478,-0.465962826705853,7100
18514,"Kinhult, Marcus",0.10977998042107806,-0.47206311046468186,7300
17550,"Van Rooyen, Erik",0.0009591910087808851,-0.4832075347862139,7100
20190,"Helligkilde, Marcus",0.04006217617529201,-0.49070081868465537,7000
27588,"Schott, Freddy",0.026969463658954303,-0.5003560839638801,6900
20727,"Coussaud, Ugo",-0.03954517789365293,-0.5030331265376903,7200
21677,"Steinlechner, Maximilian",0.08394912845980397,-0.5081088513951271,6800
14780,"Lagergren, Joakim",0.07561158964940445,-0.516750487385824,6900
17357,"Migliozzi, Guido",0.22401342531893526,-0.5199113874871779,7000
26506,"De Leo, Gregorio",0.02552412886690994,-0.5437830706540127,7000
32550,"Bryant, Davis",-0.04320132487429517,-0.5459967306821937,7200
29119,"Zhou, Yanhan",-0.04509101308947754,-0.5659215257246557,7300
14987,"Laporta, Francesco",-0.14661878335527767,-0.5769790793446058,7200
12426,"Waring, Paul",-0.034773791948728656,-0.5924503654247496,7100
25089,"Mory, Felix",0.11294861967501384,-0.5931684982760417,6600
12734,"Scrivener, Jason",0.016102836624846375,-0.5981819612093896,7000
13374,"Van Driel, Darius",0.009729139833854707,-0.5991816341965077,6900
27147,"Walker, Euan",0.06902556664062862,-0.6188376756705575,6600
28157,"Vaillant, Tom",-0.06453973345973361,-0.6206913849344996,7500
15229,"Stone, Brandon",0.06930738073853532,-0.6310898493803927,7200
15592,"Girrbach, Joel",0.08146626851978367,-0.6510797476701004,6800
15113,"Pepperell, Eddie",-0.04077328238498947,-0.6594224463494617,7000
10158,"Luiten, Joost",-0.0730653541440483,-0.6670013334534088,7400
24127,"Hidalgo, Angel",0.042912844219504476,-0.6772640421769962,6800
23549,"Celli, Filippo",-0.08000296684140233,-0.6842280149562607,6800
17747,"Halvorsen, Andreas",-0.027690374659581133,-0.7003019772201255,6900
18174,"Ritchie, JC",-0.010356664477365293,-0.7136532033364937,7100
14196,"Meronk, Adrian",0.005910269216676651,-0.7160550564181588,6800
17068,"Daffue, MJ",0.07067107673057542,-0.7344341199172062,6700
26193,"Ding, Wenyi",0.1684836833973777,-0.7524497932042256,7100
24497,"Robinson Thompson, Brandon",-0.018503774304990818,-0.7598662741548632,6800
27258,"Schmidt, Ben",0.06410489052709004,-0.7675686615593268,6800
