dg_id,player_name,course_fit_score,projected_sg_total,salary
18417,"Scheffler, Scottie",0.09273792779738456,3.011080198220448,13500.0000
17646,"Fitzpatrick, Matt",0.3044268657298994,2.332282868241072,10000.0000
26651,"Young, Cameron",-0.062385755600938855,2.0870021768226317,9800.0000
19895,"Schauffele, Xander",-0.0935885868336607,2.0479064584856537,10500.0000
14578,"Henley, Russell",0.1965908699202359,1.9249896429609308,9600.0000
23950,"Aberg, Ludvig",0.04877060376772952,1.9036370787670085,9400.0000
12294,"Fleetwood, Tommy",0.09412086074212499,1.8933143112412907,10100.0000
18634,"McNealy, Maverick",0.2278841659528419,1.7696358888847419,8500.0000
15466,"Cantlay, Patrick",0.20879478568078552,1.7421748163502497,9200.0000
14609,"Kim, Si Woo",0.18842872770275906,1.7217052300624367,8900.0000
14139,"Thomas, Justin",0.3740134480848242,1.5476407940918648,8300.0000
19483,"Burns, Sam",0.0986986467243724,1.5035159478429128,9000.0000
23323,"MacIntyre, Robert",-0.19730299034153564,1.410951054706285,8700.0000
19396,"Knapp, Jake",-0.17445443170289132,1.3932700533543956,9100.0000
27774,"Gotterup, Chris",0.05878409212387728,1.386408296471778,8100.0000
10419,"Noren, Alex",0.25269043863547275,1.3805102932148545,7100.0000
18841,"Hovland, Viktor",0.007301404760506959,1.3546995423480348,8600.0000
22085,"Morikawa, Collin",-0.24175157662614824,1.3258649473725859,9300.0000
25569,"Stevens, Sam",0.14412175234879684,1.3163837561445573,7200.0000
21891,"Kitayama, Kurt",0.20616476795069522,1.2291388127226206,7100.0000
14636,"Spieth, Jordan",0.02965844063216778,1.2193755959535217,8800.0000
24968,"Griffin, Ben",0.027398880704026372,1.204115956595509,7800.0000
13900,"Lowry, Shane",0.20275456829555438,1.177044677885101,8400.0000
23602,"Hojgaard, Nicolai",0.0063012793923308275,1.164741688192443,7500.0000
29433,"Bridgeman, Jacob",-0.19882161001414445,1.1519856688491947,8200.0000
14577,"English, Harris",0.011574623156295993,1.133576924800762,7900.0000
29767,"Gerard, Ryan",0.0190611406358618,1.1196907846722934,7400.0000
17536,"Spaun, J.J.",-0.0317194053495557,1.1190994815688164,7500.0000
27194,"Hall, Harry",0.1538658339803712,1.0957796258560792,7400.0000
16841,"Lee, Min Woo",-0.3145203639192049,1.0854348982309419,7800.0000
17606,"Berger, Daniel",0.3378350147943802,1.0585103273421537,7300.0000
22760,"Hisatsune, Ryo",0.06467701059500626,1.0230367129011297,7700.0000
26096,"Bhatia, Akshay",-0.07323062628527924,1.0085452098050203,7700.0000
17488,"Im, Sungjae",0.2721757442458262,1.0037575628931699,6700.0000
17511,"Straka, Sepp",0.04321833252239898,0.9979239432619239,7900.0000
22465,"Penge, Marco",0.1898115952472131,0.9937049841182891,7000.0000
8825,"Harman, Brian",0.2950186528202232,0.9072041155086588,7000.0000
23604,"Clark, Wyndham",0.10054880733430858,0.9008330094417353,7300.0000
9771,"Day, Jason",-0.12030973103615612,0.8842478250953122,8000.0000
17576,"Conners, Corey",0.12484706697145834,0.8797076397250888,7000.0000
28635,"McCarty, Matt",0.11472105777382144,0.8719608391047984,6800.0000
13872,"Bradley, Keegan",-0.05350199811642233,0.859768860538302,6900.0000
23014,"Theegala, Sahith",-0.00046597126301870656,0.8076512787520721,7600.0000
18586,"Smith, Jordan",0.11137237044466587,0.7932734696333992,6500.0000
23475,"Novak, Andrew",0.2200529857677037,0.668177669237912,6700.0000
13126,"Taylor, Nick",-0.045796312909431994,0.6654453301544179,7100.0000
21554,"Poston, J.T.",0.07044078028876048,0.6536781982301775,7200.0000
28309,"Coody, Pierceson",0.055915076661535654,0.6012970947332871,6500.0000
29197,"Brennan, Michael",-0.0589034256389661,0.5567477758466478,6400.0000
19870,"McCarthy, Denny",0.15925270194520805,0.46986541241439334,6500.0000
32457,"Keefer, Johnny",0.20540638076123985,0.4668059956674583,6300.0000
12965,"Fowler, Rickie",-0.26841723048081934,0.4522447797267637,7600.0000
11889,"Fox, Ryan",0.024716926078361998,0.4433115075310755,6300.0000
23816,"Valimaki, Sami",0.25923473162975763,0.44318832086925414,6300.0000
12577,"Woodland, Gary",-0.13168638334054195,0.4220352668559464,6800.0000
