rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
105,"Hoey, Rico",23504,-0.856,-0.08,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
106,"Hossler, Beau",15470,-0.866,-0.0817,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
107,"Villegas, Camilo",9171,-0.877,-0.0835,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
108,"Higgo, Garrick",24342,-0.916,-0.0897,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
109,"MacIntyre, Robert",23323,-0.975,-0.0993,2,Arnold Palmer's Bay Hill Club & Lodge,Charles Schwab Challenge,2026-05-29
110,"Bhatia, Akshay",26096,-0.984,-0.1008,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
111,"Castillo, Ricky",27819,-1.026,-0.1076,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
112,"Blair, Zac",17639,-1.109,-0.121,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
113,"Walker, Danny",25003,-1.177,-0.132,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
114,"Bezuidenhout, Christiaan",18103,-1.177,-0.1321,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
115,"VanDerLaan, John",25319,-1.235,-0.1414,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
116,"Dahmen, Joel",14509,-1.333,-0.1573,3,Arnold Palmer's Bay Hill Club & Lodge,Charles Schwab Challenge,2026-05-29
117,"Li, Haotong",15310,-1.478,-0.1809,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
118,"Gerard, Ryan",29767,-1.626,-0.2048,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
119,"Parry, John",13764,-1.712,-0.2187,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
120,"Shipley, Neal",32055,-1.772,-0.2285,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
121,"Nakajima, Keita",21074,-1.833,-0.2384,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
122,"Stevens, Sam",25569,-1.922,-0.2529,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
123,"Yu, Kevin",17881,-2.085,-0.2793,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
124,"Theegala, Sahith",23014,-2.267,-0.3088,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
125,"Griffin, Ben",24968,-2.418,-0.3332,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
126,"Kizzire, Patton",13470,-2.463,-0.3406,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-29
127,"Matsuyama, Hideki",13562,-3.022,-0.4312,2,Arnold Palmer's Bay Hill Club & Lodge,Charles Schwab Challenge,2026-05-29
