predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
TPC Southwind,sg_arg,-0.0902,-0.0617,0.016,2,0,0.0,31.5,0.0,2005-05-29,The Memorial,2026-06-04
Monterey Peninsula CC,sg_arg,-0.0628,-0.0662,0.0866,12,2,0.583,16.9167,0.0,2023-02-05,The Memorial,2026-06-04
Puntacana Resort (Corales Golf Course),sg_total,-0.0636,-0.0664,0.0314,6,0,0.5,18.3333,0.0,2024-04-21,The Memorial,2026-06-04
TPC Craig Ranch,sg_app,-0.0829,-0.0666,0.0138,2,0,0.5,55.5,0.0,2025-05-04,The Memorial,2026-06-04
Redstone GC (Fall Creek),sg_app,-0.1141,-0.0698,0.0142,2,0,0.0,53.5,0.0,2005-04-24,The Memorial,2026-06-04
Hualalai Golf Course,sg_ott,-0.082,-0.0711,0.0414,11,0,0.364,20.6364,0.0,2015-01-25,The Memorial,2026-06-04
TPC Craig Ranch,sg_arg,-0.1363,-0.0714,0.0218,3,0,0.0,30.0,0.0,2025-05-04,The Memorial,2026-06-04
Vidanta Vallarta,sg_ott,-0.1129,-0.0749,0.19,4,1,0.25,28.75,0.0,2025-02-23,The Memorial,2026-06-04
Poppy Hills,sg_total,-0.1091,-0.078,0.0463,5,0,0.4,19.4,0.0,2009-02-15,The Memorial,2026-06-04
Trinity Forest Golf Club,sg_putt,-0.1289,-0.079,0.017,2,0,0.0,46.5,0.0,2019-05-12,The Memorial,2026-06-04
Bermuda Dunes CC,sg_arg,-0.1242,-0.0814,0.0349,4,0,0.25,12.5,0.0,2009-01-25,The Memorial,2026-06-04
Silver Rock,sg_arg,-0.1459,-0.0826,0.035,4,0,0.0,17.25,0.0,2011-01-23,The Memorial,2026-06-04
TPC Southwind,sg_putt,-0.1456,-0.0852,0.0227,2,0,0.0,31.5,0.0,2005-05-29,The Memorial,2026-06-04
The Classic Club,sg_ott,-0.179,-0.0879,0.033,2,0,0.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
Trinity Forest Golf Club,sg_total,-0.0878,-0.0954,0.0312,2,0,0.5,46.5,0.0,2019-05-12,The Memorial,2026-06-04
Hualalai Golf Course,sg_arg,-0.1277,-0.1015,0.0925,11,2,0.273,20.6364,0.0,2015-01-25,The Memorial,2026-06-04
Poppy Hills,sg_arg,-0.1616,-0.1096,0.0458,5,0,0.2,19.4,0.0,2009-02-15,The Memorial,2026-06-04
The Classic Club,sg_total,-0.1805,-0.1292,0.0538,2,0,0.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
Poppy Hills,sg_putt,-0.1031,-0.1295,0.1405,5,1,0.6,19.4,0.0,2009-02-15,The Memorial,2026-06-04
TPC Louisiana,sg_putt,-0.1569,-0.1383,0.0398,2,0,0.0,46.0,0.0,2025-04-27,The Memorial,2026-06-04
The Classic Club,sg_putt,-0.2391,-0.1704,0.0776,2,0,0.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
Bermuda Dunes CC,sg_total,-0.2074,-0.1712,0.107,4,0,0.25,12.5,0.0,2009-01-25,The Memorial,2026-06-04
Bermuda Dunes CC,sg_app,-0.2707,-0.1881,0.098,4,0,0.0,12.5,0.0,2009-01-25,The Memorial,2026-06-04
