predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
Torrey Pines Golf Course (North Course),sg_app,0.0678,0.0671,0.0582,20,7,0.6,25.9,0.0,2025-01-25,The Memorial,2026-06-04
The Classic Club,sg_arg,0.1442,0.0632,0.0245,2,1,1.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_putt,0.061,0.0626,0.029,20,7,0.6,44.0,0.0,2025-02-16,The Memorial,2026-06-04
TPC San Antonio - The Oaks Course,sg_app,0.0726,0.0619,0.0205,15,3,0.733,58.7333,0.0,2025-04-06,The Memorial,2026-06-04
Quail Hollow Club,sg_ott,0.0564,0.0607,0.0367,5,1,0.6,74.6,0.0,2024-05-12,The Memorial,2026-06-04
Nicklaus Tournament Course,sg_total,0.0452,0.0575,0.0927,9,3,0.444,19.7778,0.0,2025-01-19,The Memorial,2026-06-04
PGA National  - Champion Course,sg_total,0.0804,0.0567,0.0139,2,1,0.5,39.5,0.0,2025-03-02,The Memorial,2026-06-04
TPC Four Seasons Resort,sg_ott,0.0556,0.0558,0.0255,13,4,0.615,53.7692,0.0,2017-05-21,The Memorial,2026-06-04
Plantation Course at Kapalua,sg_ott,0.0756,0.0546,0.0236,18,5,0.722,25.3889,0.0,2025-01-05,The Memorial,2026-06-04
Bermuda Dunes CC,sg_putt,0.097,0.0535,0.0367,4,1,0.75,12.5,0.0,2009-01-25,The Memorial,2026-06-04
Cottonwood Valley GC,sg_arg,0.1023,0.0529,0.0161,3,1,1.0,25.6667,0.0,2007-04-29,The Memorial,2026-06-04
Bermuda Dunes CC,sg_ott,0.1006,0.0529,0.0376,4,2,0.75,12.5,0.0,2009-01-25,The Memorial,2026-06-04
Augusta National Golf Club,sg_arg,0.0565,0.0507,0.0154,5,1,0.6,50.6,0.0,2025-04-13,The Memorial,2026-06-04
Club de Golf Chapultepec,sg_total,0.0366,0.0482,0.0324,4,1,0.5,40.5,0.0,2020-02-23,The Memorial,2026-06-04
PGA West (Nicklaus),sg_putt,0.0662,0.048,0.025,7,2,0.571,20.1429,0.0,2015-01-25,The Memorial,2026-06-04
TPC Louisiana,sg_total,0.0864,0.0469,0.0121,2,0,1.0,46.0,0.0,2025-04-27,The Memorial,2026-06-04
Hualalai Golf Course,sg_total,0.0645,0.0469,0.0525,11,3,0.636,20.6364,0.0,2015-01-25,The Memorial,2026-06-04
Torrey Pines Golf Course (North Course),sg_arg,0.0621,0.0463,0.0391,20,6,0.6,25.9,0.0,2025-01-25,The Memorial,2026-06-04
Plantation Course at Kapalua,sg_total,0.0597,0.0463,0.0384,19,5,0.684,25.2105,0.0,2025-01-05,The Memorial,2026-06-04
Pebble Beach Golf Links,sg_ott,0.0432,0.0459,0.0367,20,4,0.5,26.45,0.0,2025-02-02,The Memorial,2026-06-04
Golf Club of Houston,sg_ott,0.0663,0.0453,0.0107,12,2,0.75,70.3333,0.0,2018-04-01,The Memorial,2026-06-04
Augusta National Golf Club,sg_total,0.0508,0.0453,0.0224,20,6,0.6,48.75,0.0,2025-04-13,The Memorial,2026-06-04
CC at Mirasol (Sunset),sg_total,0.0764,0.045,0.0092,2,0,1.0,54.0,0.0,2005-03-13,The Memorial,2026-06-04
La Quinta Country Club,sg_arg,0.0523,0.0448,0.0568,18,6,0.556,19.2778,0.0,2025-01-19,The Memorial,2026-06-04
Memorial Park Golf Course,sg_arg,0.0561,0.0447,0.0156,2,1,0.5,32.0,0.0,2025-03-30,The Memorial,2026-06-04
Harbour Town Golf Links,sg_total,0.0501,0.0445,0.0159,21,4,0.571,74.1905,0.0,2025-04-20,The Memorial,2026-06-04
Colonial Country Club,sg_total,0.0582,0.0444,0.0193,21,5,0.762,72.7619,0.0,2025-05-25,The Memorial,2026-06-04
Club de Golf Chapultepec,sg_putt,0.0475,0.0441,0.0329,4,1,0.75,40.5,0.0,2020-02-23,The Memorial,2026-06-04
Quail Hollow Club,sg_total,0.0416,0.0435,0.0376,5,2,0.6,74.6,0.0,2024-05-12,The Memorial,2026-06-04
Colonial Country Club,sg_app,0.0523,0.0422,0.0109,20,5,0.65,72.9,0.0,2025-05-25,The Memorial,2026-06-04
TPC Four Seasons Resort,sg_app,0.0474,0.0416,0.0243,13,5,0.538,53.7692,0.0,2017-05-21,The Memorial,2026-06-04
Hualalai Golf Course,sg_putt,0.0503,0.0412,0.0439,11,3,0.636,20.6364,0.0,2015-01-25,The Memorial,2026-06-04
TPC Craig Ranch,sg_arg,0.0479,0.0361,0.0071,2,0,0.5,55.5,0.0,2025-05-04,The Memorial,2026-06-04
The Riviera Country Club,sg_arg,0.0298,0.0349,0.0166,19,4,0.474,80.1579,0.0,2024-02-18,The Memorial,2026-06-04
Redstone GC (Fall Creek),sg_total,0.0408,0.0342,0.0091,2,0,0.5,53.5,0.0,2005-04-24,The Memorial,2026-06-04
PGA West (Nicklaus),sg_ott,0.0452,0.0336,0.0174,7,1,0.714,20.1429,0.0,2015-01-25,The Memorial,2026-06-04
Torrey Pines Golf Course (North Course),sg_total,0.0417,0.0319,0.0419,20,4,0.6,26.1,0.0,2025-01-25,The Memorial,2026-06-04
TPC Scottsdale (Stadium Course),sg_ott,0.0361,0.0313,0.0151,20,3,0.6,74.55,0.0,2025-02-09,The Memorial,2026-06-04
Club de Golf Chapultepec,sg_ott,0.0476,0.0311,0.0136,4,1,0.75,40.5,0.0,2020-02-23,The Memorial,2026-06-04
Quail Hollow Club,sg_app,0.042,0.0309,0.0115,5,2,0.6,74.6,0.0,2024-05-12,The Memorial,2026-06-04
Silver Rock,sg_ott,0.0837,0.0302,0.0894,4,2,0.75,17.25,0.0,2011-01-23,The Memorial,2026-06-04
Nicklaus Tournament Course,sg_app,0.0253,0.0293,0.0697,9,3,0.556,19.2222,0.0,2025-01-19,The Memorial,2026-06-04
PGA West (Nicklaus),sg_total,0.0806,0.0283,0.0401,7,1,0.857,20.1429,0.0,2015-01-25,The Memorial,2026-06-04
TPC Scottsdale (Stadium Course),sg_app,0.0312,0.0281,0.0195,20,3,0.6,74.55,0.0,2025-02-09,The Memorial,2026-06-04
Arnold Palmer's Bay Hill Club & Lodge,sg_arg,0.0265,0.0278,0.0118,21,4,0.524,76.2857,0.0,2025-03-09,The Memorial,2026-06-04
PGA National Resort (The Champion),sg_ott,0.043,0.027,0.021,17,5,0.765,69.6471,0.0,2023-02-26,The Memorial,2026-06-04
Nicklaus Tournament Course,sg_arg,0.0511,0.0265,0.052,9,3,0.667,19.2222,0.0,2025-01-19,The Memorial,2026-06-04
TPC Four Seasons Resort,sg_total,0.034,0.0248,0.0122,13,1,0.615,53.7692,0.0,2017-05-21,The Memorial,2026-06-04
Quail Hollow Club,sg_putt,0.0117,0.0243,0.0245,5,1,0.4,74.6,0.0,2024-05-12,The Memorial,2026-06-04
Monterey Peninsula CC,sg_total,0.0311,0.0235,0.0592,12,3,0.5,17.0,0.0,2023-02-05,The Memorial,2026-06-04
Augusta National Golf Club,sg_putt,-0.0026,0.0232,0.0197,5,1,0.2,50.6,0.0,2025-04-13,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_ott,0.0265,0.0228,0.0267,20,6,0.55,44.0,0.0,2025-02-16,The Memorial,2026-06-04
Harbour Town Golf Links,sg_app,0.0206,0.0197,0.0136,21,5,0.524,74.1905,0.0,2025-04-20,The Memorial,2026-06-04
Golf Club of Houston,sg_app,0.01,0.0188,0.0157,12,3,0.417,70.3333,0.0,2018-04-01,The Memorial,2026-06-04
Pebble Beach Golf Links,sg_app,0.0163,0.0187,0.0477,20,5,0.45,26.45,0.0,2025-02-02,The Memorial,2026-06-04
Pete Dye Stadium Course,sg_ott,0.0395,0.018,0.0517,9,3,0.778,26.2222,0.0,2025-01-19,The Memorial,2026-06-04
Innisbrook Resort and Golf Club - Copperhead Course,sg_app,0.0149,0.0178,0.0118,18,2,0.444,70.8333,0.0,2025-03-23,The Memorial,2026-06-04
Harbour Town Golf Links,sg_putt,0.0297,0.0173,0.0136,21,2,0.667,74.1905,0.0,2025-04-20,The Memorial,2026-06-04
La Quinta Country Club,sg_app,0.0249,0.0153,0.0707,18,3,0.556,19.2778,0.0,2025-01-19,The Memorial,2026-06-04
Trump National Doral - Blue Monster Course,sg_app,0.03,0.0138,0.043,10,4,0.6,35.4,0.0,2016-03-06,The Memorial,2026-06-04
