rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
56,"Lipsky, David",15980,0.088,0.0618,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
57,"Glover, Lucas",7399,0.078,0.0595,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
58,"Phillips, Chandler",27164,0.077,0.0593,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
59,"Kuchar, Matt",6169,0.076,0.0591,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
60,"Homa, Max",17538,0.066,0.0568,2,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
61,"Mouw, William",29770,0.031,0.049,1,TPC Louisiana,Charles Schwab Challenge,2026-05-28
62,"Ryder, Sam",16715,0.02,0.0466,4,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
63,"Blanchet, Chandler",24956,0.01,0.0445,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
64,"Fisk, Steven",26657,-0.013,0.0392,2,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
65,"Higgo, Garrick",24342,-0.026,0.0365,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
66,"Hubbard, Mark",16333,-0.031,0.0352,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
67,"Whaley, Vince",25908,-0.037,0.0339,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
68,"Cole, Eric",21756,-0.06,0.0288,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
69,"Keefer, Johnny",32457,-0.067,0.0272,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
70,"Ramey, Chad",19840,-0.069,0.0268,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
71,"Hodges, Lee",25157,-0.103,0.0194,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
72,"Riley, Davis",19872,-0.121,0.0153,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
73,"Hoey, Rico",23504,-0.125,0.0144,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
74,"Vilips, Karl",24304,-0.128,0.0138,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
75,"Hojgaard, Rasmus",23838,-0.141,0.0108,1,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
76,"Villegas, Camilo",9171,-0.156,0.0075,5,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
77,"Smith, Jordan",18586,-0.182,0.0017,1,TPC Louisiana,Charles Schwab Challenge,2026-05-28
78,"Davis, Cam",17786,-0.197,-0.0016,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
79,"Henley, Russell",14578,-0.199,-0.002,1,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
80,"Hossler, Beau",15470,-0.202,-0.0028,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
81,"Lamprecht, Christo",24343,-0.202,-0.0027,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
