dg_id,player_name,course_fit_score,projected_sg_total,adjusted_sg_total,salary
18417,"Scheffler, Scottie",0.14403100920648815,3.2352534820239858,3.2352534820239858,13600.0
26651,"Young, Cameron",-0.0002036485614855324,2.00363811178164,2.00363811178164,10200.0
14577,"English, Harris",0.318303688760965,1.760399780922004,1.760399780922004,8500.0
12294,"Fleetwood, Tommy",0.07661769339221343,1.728692231546882,1.728692231546882,9700.0
16841,"Lee, Min Woo",0.06673727232454585,1.595882217425952,1.595882217425952,8600.0
18634,"McNealy, Maverick",0.08146121698687937,1.5559488469270515,1.5559488469270515,8800.0
19396,"Knapp, Jake",0.11697964454840801,1.5087307701832766,1.5087307701832766,9500.0
13562,"Matsuyama, Hideki",0.06720479396341289,1.4979056550114918,1.4979056550114918,9000.0
6093,"Rose, Justin",0.2071145535484006,1.451347609720559,1.451347609720559,8700.0
27774,"Gotterup, Chris",0.0534155484904982,1.4237006296585746,1.4237006296585746,9300.0
22085,"Morikawa, Collin",-0.17765341479481808,1.4168796821958567,1.4168796821958567,9800.0
29433,"Bridgeman, Jacob",0.05832033474662774,1.4082687010297388,1.4082687010297388,8300.0
14609,"Kim, Si Woo",-0.12570696837570994,1.3940585468424544,1.3940585468424544,9200.0
13900,"Lowry, Shane",0.1955129851112946,1.3592942451860004,1.3592942451860004,7600.0
23602,"Hojgaard, Nicolai",0.0812299792234373,1.3015404947959783,1.3015404947959783,7800.0
18841,"Hovland, Viktor",0.04443303922316216,1.2983627770956967,1.2983627770956967,8900.0
14578,"Henley, Russell",-0.15181699471256382,1.282220731288888,1.282220731288888,9900.0
17536,"Spaun, J.J.",0.07585605166604437,1.2730849579690544,1.2730849579690544,7800.0
19483,"Burns, Sam",0.01924914610420104,1.2619374387744593,1.2619374387744593,9100.0
6430,"Scott, Adam",0.10770188916251977,1.2254082951393108,1.2254082951393108,8400.0
12965,"Fowler, Rickie",0.1191960859341589,1.1656238474823037,1.1656238474823037,8000.0
24968,"Griffin, Ben",0.03545713009466778,1.1450489550719607,1.1450489550719607,8000.0
29767,"Gerard, Ryan",-0.002968094594446878,1.095930902327708,1.095930902327708,7200.0
26096,"Bhatia, Akshay",0.012688828741722953,1.0417490114137866,1.0417490114137866,8100.0
13872,"Bradley, Keegan",0.0689058563686617,1.0404018171837108,1.0404018171837108,7500.0
25569,"Stevens, Sam",0.06106505862323745,1.0204166577883482,1.0204166577883482,7300.0
17576,"Conners, Corey",0.14430195441895044,0.9618326408322111,0.9618326408322111,6900.0
28309,"Coody, Pierceson",0.10456377866768454,0.9477175394127703,0.9477175394127703,7300.0
18474,"Smalley, Alex",0.0009101904803197125,0.9210593978586709,0.9210593978586709,7100.0
10419,"Noren, Alex",0.054246671010668074,0.9160957151606707,0.9160957151606707,7200.0
18586,"Smith, Jordan",0.023099796090305217,0.9123294790796374,0.9123294790796374,6800.0
23014,"Theegala, Sahith",-0.01645205120352316,0.8860464237228831,0.8860464237228831,7600.0
27194,"Hall, Harry",0.05018445810874549,0.874067997228135,0.874067997228135,7400.0
12577,"Woodland, Gary",0.1251718621678545,0.8716009113740081,0.8716009113740081,7400.0
23475,"Novak, Andrew",0.09462124697459141,0.8414457299586996,0.8414457299586996,6500.0
14636,"Spieth, Jordan",-0.08828852853304107,0.8400579751722547,0.8400579751722547,8200.0
17365,"Mitchell, Keith",-0.024284401844151177,0.831446467061687,0.831446467061687,7500.0
28635,"McCarty, Matt",-0.022101337582653723,0.8195565215503988,0.8195565215503988,6800.0
17511,"Straka, Sepp",-0.05295721305745808,0.8169567309144513,0.8169567309144513,7900.0
22760,"Hisatsune, Ryo",-0.07540730799898458,0.7970594885903982,0.7970594885903982,7000.0
21891,"Kitayama, Kurt",-0.13709846638448106,0.763168771148682,0.763168771148682,7900.0
17606,"Berger, Daniel",0.08852466043410484,0.7500946556958162,0.7500946556958162,7100.0
14139,"Thomas, Justin",-0.032314963955870024,0.6758652803686959,0.6758652803686959,7700.0
21554,"Poston, J.T.",0.07916388400969031,0.6365998496751533,0.6365998496751533,6500.0
14502,"Cauley, Bud",0.03463907733766122,0.6346613174328959,0.6346613174328959,6600.0
11889,"Fox, Ryan",0.06963420825135035,0.6278054827944843,0.6278054827944843,6800.0
14704,"Putnam, Andrew",0.15041050255429705,0.6043538939897055,0.6043538939897055,6300.0
27819,"Castillo, Ricky",-0.001966435597735655,0.5984325834576724,0.5984325834576724,6900.0
22985,"Smotherman, Austin",0.1440942040107472,0.5945797476685628,0.5945797476685628,6300.0
17538,"Homa, Max",0.13366056413516547,0.5876219319183713,0.5876219319183713,6400.0
9771,"Day, Jason",-0.13175163276632737,0.5675441843317917,0.5675441843317917,7700.0
17543,"Kim, Michael",0.10617619899645432,0.5111894126848834,0.5111894126848834,6500.0
19870,"McCarthy, Denny",0.11719534108850978,0.498518513505552,0.498518513505552,6400.0
25362,"Fitzpatrick, Alex",-0.019430071465550314,0.49095757950720914,0.49095757950720914,6700.0
17780,"Pendrith, Taylor",0.029187019148767805,0.48675236194855553,0.48675236194855553,6700.0
20706,"Wallace, Matt",-0.008781647367423179,0.4606552832491223,0.4606552832491223,6600.0
13126,"Taylor, Nick",-0.06807738476010408,0.409891533936384,0.409891533936384,6900.0
29925,"Yellamaraju, Sudarshan",-0.07682602179933123,0.40166300572995356,0.40166300572995356,7000.0
17488,"Im, Sungjae",-0.0019440435076886631,0.38614516675345684,0.38614516675345684,6700.0
8825,"Harman, Brian",-0.07792048292840226,0.3250016904686952,0.3250016904686952,6600.0
23465,"Greyserman, Max",0.0002585339671936464,0.20791625045323664,0.20791625045323664,6200.0
27900,"Potgieter, Aldrich",0.11138076169789386,0.2027202726471907,0.2027202726471907,6300.0
14509,"Dahmen, Joel",0.06811724897046219,0.12773873274999636,0.12773873274999636,6100.0
24956,"Blanchet, Chandler",-0.044758651030441736,0.10481567529614544,0.10481567529614544,6100.0
16283,"Rodgers, Patrick",-0.10759963941246177,0.07827933861122205,0.07827933861122205,6400.0
22833,"Echavarria, Nico",0.16630591496670832,0.07265506556305334,0.07265506556305334,6200.0
13508,"Vegas, Jhonattan",0.08984873232622706,-0.22039520846033636,-0.22039520846033636,6200.0
15980,"Lipsky, David",-0.20087912221857057,-0.437687021066001,-0.437687021066001,6000.0
15575,"Hoge, Tom",-0.22577375236842165,-0.6805506054753484,-0.6805506054753484,6100.0
7399,"Glover, Lucas",-0.26215288332882364,-0.8919012460755925,-0.8919012460755925,6000.0
18628,"Campbell, Brian",0.06834953086521134,-0.906330630205592,-0.906330630205592,6000.0
