dg_id,player_name,course_num_b,course_name_b,skill,avg_value,cor_score,shared_players,target_course_num,target_course_name
17606,"Berger, Daniel",14,Augusta National Golf Club,sg_arg,0.07160028478858851,0.7393409277580114,25,8,Trump National Doral
17606,"Berger, Daniel",896,Olympia Fields Country Club (North Course),sg_arg,0.2532456521036545,0.7100302329785095,15,8,Trump National Doral
17606,"Berger, Daniel",238,Glen Oaks Club,sg_arg,-0.0464227787511302,0.7009133417254505,26,8,Trump National Doral
17606,"Berger, Daniel",744,Torrey Pines (South),sg_arg,0.22823802092303158,0.7001673777408384,22,8,Trump National Doral
17606,"Berger, Daniel",977,The Renaissance Club,sg_arg,-0.9337820773399022,0.6919611992697092,16,8,Trump National Doral
17606,"Berger, Daniel",930,Black Desert Resort,sg_arg,-0.010022895703623108,0.6659138517567389,6,8,Trump National Doral
17606,"Berger, Daniel",9,Arnold Palmer's Bay Hill Club & Lodge,sg_arg,0.5611419560274407,0.6489283494472748,53,8,Trump National Doral
17606,"Berger, Daniel",939,Torrey Pines Golf Course (South Course),sg_arg,0.2724562133827062,0.6481740336083687,9,8,Trump National Doral
17606,"Berger, Daniel",528,Pinehurst Resort & Country Club (Course No. 2),sg_arg,1.0981659379349502,0.6285136647760644,13,8,Trump National Doral
17606,"Berger, Daniel",4,Torrey Pines Golf Course (South Course),sg_arg,-0.03385202994721841,0.620134227635023,48,8,Trump National Doral
17606,"Berger, Daniel",770,TPC San Antonio - The Oaks Course,sg_arg,-0.06341274723791604,0.5315093269408167,47,8,Trump National Doral
17606,"Berger, Daniel",500,The Riviera Country Club,sg_arg,-0.05301373458878515,0.5114172098898064,52,8,Trump National Doral
17606,"Berger, Daniel",616,Robert Trent Jones GC,sg_arg,0.045012649011600486,0.5096255426355727,14,8,Trump National Doral
17606,"Berger, Daniel",876,Detroit Golf Club,sg_arg,-0.23070690301235405,0.5027191024385416,28,8,Trump National Doral
17606,"Berger, Daniel",503,TPC River Highlands,sg_arg,-0.9622250451319921,0.4706643194362694,49,8,Trump National Doral
17606,"Berger, Daniel",19,TPC Four Seasons Resort,sg_arg,0.0626047226891158,0.45173907840262223,44,8,Trump National Doral
17606,"Berger, Daniel",665,Innisbrook Resort and Golf Club - Copperhead Course,sg_arg,-0.4108583042427,0.442024553694279,52,8,Trump National Doral
17606,"Berger, Daniel",885,Royal Portrush Golf Club,sg_arg,0.25252265226252113,0.4398388176798087,15,8,Trump National Doral
17606,"Berger, Daniel",12,Harbour Town Golf Links,sg_arg,0.1601556599394209,0.43428522985509044,50,8,Trump National Doral
17606,"Berger, Daniel",649,Hualalai Golf Course,sg_arg,-1.1165279856843484,0.4321796692978762,33,8,Trump National Doral
17606,"Berger, Daniel",776,Sea Island Golf Club (Seaside Course),sg_arg,0.034077377626062215,0.4321089710018484,42,8,Trump National Doral
17606,"Berger, Daniel",697,Ocean Course at Kiawah Island,sg_arg,-0.5228251339770245,0.4079383696018875,26,8,Trump National Doral
17606,"Berger, Daniel",789,Conway Farms GC,sg_arg,0.5116878329181188,0.39885105747329874,33,8,Trump National Doral
17606,"Berger, Daniel",235,Eagle Point Golf Club,sg_arg,-0.4198180390101215,0.38828502168455575,20,8,Trump National Doral
17606,"Berger, Daniel",698,Quail Hollow Club,sg_arg,0.05020270868951094,0.3795797455995328,48,8,Trump National Doral
17606,"Berger, Daniel",897,Memorial Park Golf Course,sg_arg,0.43986069073728273,0.3696859296953447,29,8,Trump National Doral
17606,"Berger, Daniel",611,Southern Hills Country Club,sg_arg,0.4758226770884334,0.36084375450704514,24,8,Trump National Doral
17606,"Berger, Daniel",729,Golf Club of Houston,sg_arg,0.4607724952843958,0.3290164161077437,50,8,Trump National Doral
17606,"Berger, Daniel",669,TPC Deere Run,sg_arg,0.1439152644451419,0.3255360349587472,36,8,Trump National Doral
17606,"Berger, Daniel",894,TPC Craig Ranch,sg_arg,-0.16095271825916693,0.3141344193770453,24,8,Trump National Doral
17606,"Berger, Daniel",931,Tahoe Mountain Club (Old Greenwood),sg_arg,-0.748689207239606,0.3045308878923495,6,8,Trump National Doral
17606,"Berger, Daniel",8,Trump National Doral,sg_ott,0.4961349750284154,0.9593064704881411,59,8,Trump National Doral
17606,"Berger, Daniel",746,The Country Club of Jackson,sg_ott,0.7924975966387622,0.860609021404927,31,8,Trump National Doral
17606,"Berger, Daniel",931,Tahoe Mountain Club (Old Greenwood),sg_ott,0.9788823065498907,0.8577627093472249,6,8,Trump National Doral
17606,"Berger, Daniel",656,Plantation Course at Kapalua,sg_ott,0.49988294020003887,0.8468283633819503,42,8,Trump National Doral
17606,"Berger, Daniel",706,Whistling Straits,sg_ott,-0.7672011825812337,0.8294847576629226,38,8,Trump National Doral
17606,"Berger, Daniel",697,Ocean Course at Kiawah Island,sg_ott,-0.21850717432795055,0.8267008375585781,26,8,Trump National Doral
17606,"Berger, Daniel",921,TPC Craig Ranch,sg_ott,0.18639169258966717,0.8124938419538594,15,8,Trump National Doral
17606,"Berger, Daniel",897,Memorial Park Golf Course,sg_ott,0.22826662073583906,0.8123705306170043,29,8,Trump National Doral
17606,"Berger, Daniel",665,Innisbrook Resort and Golf Club - Copperhead Course,sg_ott,-0.24430202066618373,0.7633969329817687,52,8,Trump National Doral
17606,"Berger, Daniel",895,TPC Harding Park,sg_ott,1.2529052388039204,0.76169648423642,26,8,Trump National Doral
