rank,player_name,dg_id,sg_ott_z,sg_arg_z,sg_putt_z,sg_total_z,tournament,as_of_date
72,"Garnett, Brice",11451,-0.069,,,0.007,Rocket Classic,2026-08-03
73,"Kanaya, Takumi",19729,-0.743,,,0.001,Rocket Classic,2026-08-03
74,"Wu, Dylan",25002,-1.25,,,-0.008,Rocket Classic,2026-08-03
75,"Keefer, Johnny",32457,0.0,,0.091,-0.02,Rocket Classic,2026-08-03
76,"Clanton, Luke",32330,-2.499,,,-0.021,Rocket Classic,2026-08-03
77,"Hoey, Rico",23504,-0.339,,-0.091,-0.021,Rocket Classic,2026-08-03
78,"Rozo, Marcelo",16591,0.785,,,-0.031,Rocket Classic,2026-08-03
79,"Ewart, A.J.",21883,-0.662,,,-0.033,Rocket Classic,2026-08-03
80,"Lebioda, Hank",21943,-1.263,,,-0.04,Rocket Classic,2026-08-03
81,"Fishburn, Patrick",25094,-0.234,,,-0.043,Rocket Classic,2026-08-03
82,"Lower, Justin",17723,0.719,,,-0.052,Rocket Classic,2026-08-03
83,"Bauchou, Zach",19846,0.23,,,-0.06,Rocket Classic,2026-08-03
84,"Campbell, Brian",18628,1.274,-1.534,-0.383,-0.06,Rocket Classic,2026-08-03
85,"Kirk, Chris",12423,0.259,,0.123,-0.064,Rocket Classic,2026-08-03
86,"Fisk, Steven",26657,0.525,,1.082,-0.07,Rocket Classic,2026-08-03
87,"Kizzire, Patton",13470,-0.201,,,-0.083,Rocket Classic,2026-08-03
88,"Pavon, Matthieu",19960,0.274,,,-0.104,Rocket Classic,2026-08-03
89,"Moore, Taylor",21944,0.132,,0.446,-0.107,Rocket Classic,2026-08-03
90,"Higgo, Garrick",24342,0.34,,0.852,-0.124,Rocket Classic,2026-08-03
91,"Sargent, Gordon",30814,1.004,,,-0.133,Rocket Classic,2026-08-03
92,"Matsuyama, Hideki",13562,-1.572,-0.147,0.666,-0.141,Rocket Classic,2026-08-03
93,"Gerard, Ryan",29767,0.752,-1.134,-0.006,-0.148,Rocket Classic,2026-08-03
94,"Tosti, Alejandro",17032,-0.186,,,-0.163,Rocket Classic,2026-08-03
95,"Schenk, Adam",19477,-1.123,,0.8,-0.167,Rocket Classic,2026-08-03
96,"Roy, Kevin",18424,0.304,,,-0.177,Rocket Classic,2026-08-03
97,"Kim, Michael",17543,-0.653,0.757,0.468,-0.219,Rocket Classic,2026-08-03
98,"Whaley, Vince",25908,0.166,,,-0.221,Rocket Classic,2026-08-03
99,"Griffin, Ben",24968,1.56,0.756,1.048,-0.23,Rocket Classic,2026-08-03
100,"Li, Haotong",15310,-0.303,,0.888,-0.256,Rocket Classic,2026-08-03
101,"Silverman, Ben",17381,0.443,,,-0.256,Rocket Classic,2026-08-03
102,"VanDerLaan, John",25319,0.141,,,-0.257,Rocket Classic,2026-08-03
103,"Coody, Pierceson",28309,2.939,-0.27,1.369,-0.26,Rocket Classic,2026-08-03
104,"Ventura, Kristoffer",15651,-0.072,,,-0.266,Rocket Classic,2026-08-03
105,"Day, Jason",9771,1.661,0.032,-0.738,-0.27,Rocket Classic,2026-08-03
106,"Novak, Andrew",23475,-2.318,1.797,0.696,-0.32,Rocket Classic,2026-08-03
107,"Harman, Brian",8825,-0.756,0.241,0.461,-0.342,Rocket Classic,2026-08-03
108,"Bradley, Keegan",13872,-0.164,-0.026,-1.396,-0.381,Rocket Classic,2026-08-03
109,"Stevens, Sam",25569,1.918,-0.136,-0.272,-0.389,Rocket Classic,2026-08-03
110,"Pendrith, Taylor",17780,1.471,-1.745,-0.42,-0.41,Rocket Classic,2026-08-03
111,"Koivun, Jackson",32319,,,,-0.423,Rocket Classic,2026-08-03
112,"Ramey, Chad",19840,0.326,,,-0.522,Rocket Classic,2026-08-03
113,"Im, Sungjae",17488,-0.597,-0.949,0.691,-0.523,Rocket Classic,2026-08-03
114,"Blanchet, Chandler",24956,0.793,-1.348,1.091,-0.613,Rocket Classic,2026-08-03
115,"Olesen, Thorbjorn",13412,0.066,,,-0.649,Rocket Classic,2026-08-03
116,"Lamprecht, Christo",24343,0.203,,,-0.678,Rocket Classic,2026-08-03
117,"McCarthy, Denny",19870,-2.02,0.397,-0.311,-0.737,Rocket Classic,2026-08-03
