dg_id,player_name,course_num_b,course_name_b,skill,avg_value,cor_score,shared_players,target_course_num
18103,"Bezuidenhout, Christiaan",5,Pebble Beach Golf Links,sg_ott,0.21425088536645664,0.5655914990386693,103,12
18103,"Bezuidenhout, Christiaan",250,Le Golf National,sg_ott,0.9907542949967846,0.5352932765758058,18,12
18103,"Bezuidenhout, Christiaan",887,Kasumigaseki Country Club,sg_ott,0.2711927222622412,0.5103954695166638,16,12
18103,"Bezuidenhout, Christiaan",503,TPC River Highlands,sg_ott,0.24904206760985903,0.5072165405463802,106,12
18103,"Bezuidenhout, Christiaan",933,East Lake Golf Club,sg_ott,-0.7103143605167781,0.4729159018565088,19,12
18103,"Bezuidenhout, Christiaan",528,Pinehurst Resort & Country Club (Course No. 2),sg_ott,0.1879185440442362,0.4248650790358922,53,12
18103,"Bezuidenhout, Christiaan",6,Waialae Country Club,sg_ott,0.07857922706840659,0.4177939943694529,96,12
18103,"Bezuidenhout, Christiaan",14,Augusta National Golf Club,sg_ott,-0.5136078331097756,0.41257885793824106,64,12
18103,"Bezuidenhout, Christiaan",510,TPC Scottsdale (Stadium Course),sg_ott,0.1351066918204571,0.4071209797116578,103,12
18103,"Bezuidenhout, Christiaan",406,Castle Pines Golf Club,sg_ott,0.18988374465319108,0.3629607537725308,32,12
18103,"Bezuidenhout, Christiaan",656,Plantation Course at Kapalua,sg_ott,-1.1937711863017437,0.36281954727733967,72,12
18103,"Bezuidenhout, Christiaan",872,Quail Hollow Club,sg_ott,-0.0036766230020656085,0.34721522573520713,98,12
18103,"Bezuidenhout, Christiaan",11,TPC Sawgrass - THE PLAYERS Stadium Course,sg_ott,-0.3555688100251201,0.34543800630941907,105,12
18103,"Bezuidenhout, Christiaan",895,TPC Harding Park,sg_ott,-0.19075378307839397,0.3434030676790144,60,12
18103,"Bezuidenhout, Christiaan",894,TPC Craig Ranch,sg_ott,-0.3381962299828738,0.34194758791605545,72,12
18103,"Bezuidenhout, Christiaan",930,Black Desert Resort,sg_ott,-0.4593371162270294,0.2818040372810847,46,12
18103,"Bezuidenhout, Christiaan",9,Arnold Palmer's Bay Hill Club & Lodge,sg_ott,0.07649847041288613,0.24367117934793558,101,12
18103,"Bezuidenhout, Christiaan",883,TPC Twin Cities,sg_ott,-0.05121411336736433,0.24206833861778645,98,12
18103,"Bezuidenhout, Christiaan",902,Congaree Golf Club,sg_ott,-1.2840024115316513,0.2120012745842335,73,12
18103,"Bezuidenhout, Christiaan",12,Harbour Town Golf Links,sg_putt,1.173851017661083,0.9097930580309025,111,12
18103,"Bezuidenhout, Christiaan",250,Le Golf National,sg_putt,1.493463831504321,0.7002540287228093,18,12
18103,"Bezuidenhout, Christiaan",894,TPC Craig Ranch,sg_putt,1.6331002328811393,0.5771181457072783,72,12
18103,"Bezuidenhout, Christiaan",724,Royal Liverpool,sg_putt,0.10669413557451927,0.5512583034921096,44,12
18103,"Bezuidenhout, Christiaan",939,Torrey Pines Golf Course (South Course),sg_putt,0.426990369196133,0.5221608845128988,42,12
18103,"Bezuidenhout, Christiaan",704,Pete Dye Stadium Course,sg_putt,0.6442082339792828,0.39791025831616106,100,12
18103,"Bezuidenhout, Christiaan",933,East Lake Golf Club,sg_putt,0.045796630826873116,0.37665604520281293,19,12
18103,"Bezuidenhout, Christiaan",897,Memorial Park Golf Course,sg_putt,0.7106352012391308,0.34741510411493,96,12
18103,"Bezuidenhout, Christiaan",510,TPC Scottsdale (Stadium Course),sg_putt,-0.29899595727193307,0.3081637995400513,103,12
18103,"Bezuidenhout, Christiaan",921,TPC Craig Ranch,sg_putt,0.7834628248021447,0.2936469151883509,69,12
18103,"Bezuidenhout, Christiaan",21,Colonial Country Club,sg_putt,0.26207615106997517,0.27381104232247894,103,12
18103,"Bezuidenhout, Christiaan",928,PGA National  - Champion Course,sg_putt,0.031076474953700903,0.2314779884954464,65,12
18103,"Bezuidenhout, Christiaan",752,Sedgefield Country Club,sg_putt,-0.1721399654705087,0.20734889071619414,105,12
18103,"Bezuidenhout, Christiaan",656,Plantation Course at Kapalua,sg_putt,0.5629390626744016,0.20071647107816834,72,12
